size,Time(ns)
10,0
110,0
210,0
310,0
410,0
510,0
610,0
710,0
810,0
910,0
1010,16287000
1110,0
1210,0
1310,0
1410,0
1510,0
1610,0
1710,20383000
1810,4480000
1910,2006000
2010,5312000
2110,8717000
2210,7046000
2310,8882000
2410,7023000
2510,9188000
2610,8526000
2710,8184000
2810,16431000
2910,5044000
3010,22111000
3110,13982000
3210,21776000
3310,22296000
3410,13859000
3510,18653000
3610,19701000
3710,13419000
3810,26613000
3910,16754000
4010,25124000
4110,19874000
4210,30178000
4310,12406000
4410,30833000
4510,37575000
4610,29125000
4710,28815000
4810,34395000
4910,33103000
5010,40033000
5110,38683000
5210,49841000
5310,41213000
5410,38328000
5510,44792000
5610,38349000
5710,47753000
5810,45442000
5910,45496000
6010,50765000
6110,49833000
6210,75595000
6310,82910000
6410,83301000
6510,63783000
6610,64190000
6710,52309000
6810,66119000
6910,75548000
7010,77361000
7110,78872000
7210,78997000
7310,82859000
7410,82208000
7510,79409000
7610,96865000
7710,90042000
7810,112196000
7910,90573000
8010,110336000
8110,95799000
8210,95469000
8310,108055000
8410,107630000
8510,98018000
8610,115143000
8710,116582000
8810,122657000
8910,123557000
9010,118708000
9110,127386000
9210,135110000
9310,127254000
9410,135591000
9510,118837000
9610,127648000
9710,161480000
9810,140530000
9910,159234000
10010,153289000
10110,157384000
10210,144669000
10310,142734000
10410,156328000
10510,162816000
10610,192454000
10710,175778000
10810,179333000
10910,173001000
11010,161202000
11110,166736000
11210,211233000
11310,200462000
11410,169968000
11510,197843000
11610,190483000
11710,203391000
11810,239226000
11910,241976000
12010,223892000
12110,230190000
12210,213339000
12310,218761000
12410,215071000
12510,215880000
12610,257214000
12710,224282000
12810,232103000
12910,228362000
13010,244775000
13110,243954000
13210,251675000
13310,279674000
13410,239927000
13510,261476000
13610,261077000
13710,270291000
13810,262783000
13910,300230000
14010,273111000
14110,318634000
14210,302276000
14310,276735000
14410,299477000
14510,281472000
14610,388046000
14710,309781000
14810,347806000
14910,322476000
15010,342207000
15110,327502000
15210,342791000
15310,344015000
15410,345484000
15510,401705000
15610,339112000
15710,360589000
15810,350550000
15910,354154000
16010,434627000
16110,364289000
16210,389800000
16310,385671000
16410,453068000
16510,380568000
16610,445448000
16710,407896000
16810,422814000
16910,404499000
17010,425305000
