size,Time(ms)
5,0
7,0
9,0
11,0
13,0
15,0
17,0
19,0
21,0
23,0
25,0
27,0
29,0
31,0
33,0
35,0
37,0
39,0
41,0
43,0
45,0
47,0
49,0
51,0
53,0
55,0
57,0
59,0
61,0
63,0
65,0
67,0
69,0
71,0
73,0
75,0
77,0
79,0
81,0
83,0
85,0
87,0
89,0
91,2
93,0
95,0
97,0
99,0
101,0
103,0
105,0
107,0
109,0
111,0
113,0
115,0
117,0
119,4
121,0
123,0
125,0
127,1
129,0
131,0
133,0
135,0
137,0
139,0
141,0
143,0
145,0
147,0
149,1
151,0
153,1
155,0
157,0
159,0
161,0
163,0
165,0
167,0
169,1
171,1
173,0
175,1
177,0
179,0
181,0
183,0
185,0
187,0
189,1
191,0
193,0
195,0
197,2
199,0
201,0
203,0
205,0
207,0
209,0
211,0
213,0
215,0
217,0
219,0
221,0
223,0
225,0
227,2
229,0
231,0
233,0
235,0
237,0
239,0
241,0
243,0
245,12
247,1
249,0
251,0
253,0
255,0
257,0
259,0
261,0
263,0
265,13
267,3
269,0
271,0
273,0
275,0
277,0
279,0
281,6
283,3
285,0
287,0
289,3
291,1
293,2
295,2
297,2
299,2
301,1
303,0
305,0
307,8
309,1
311,0
313,5
315,2
317,1
319,0
321,6
323,3
325,0
327,0
329,0
331,8
333,1
335,0
337,6
339,0
341,0
343,0
345,0
347,0
349,1
351,4
353,2
355,0
357,7
359,1
361,0
363,3
365,2
367,0
369,6
371,3
373,1
375,0
377,7
379,0
381,0
383,0
385,14
387,2
389,2
391,0
393,7
395,1
397,3
399,5
401,0
403,1
405,5
407,0
409,8
411,3
413,4
415,2
417,1
419,3
421,0
423,0
425,0
427,7
429,2
431,0
433,0
435,2
437,0
439,0
441,13
443,3
445,2
447,0
449,3
451,4
453,5
455,4
457,2
459,0
461,4
463,3
465,2
467,5
469,0
471,9
473,3
475,3
477,0
479,0
481,4
483,3
485,3
487,3
489,2
491,1
493,4
495,4
497,9
499,0
501,5
503,5
505,5
507,5
509,3
511,7
513,4
515,6
517,0
519,4
521,4
523,5
525,5
527,1
529,0
531,5
533,4
535,11
537,5
539,0
541,6
543,0
545,0
547,0
549,0
551,5
553,0
555,15
557,11
559,5
561,9
563,6
565,10
567,7
569,8
571,5
573,0
575,8
577,3
579,6
581,3
583,2
585,8
587,10
589,0
591,0
593,15
595,0
597,20
599,6
601,0
603,16
605,0
607,15
609,0
611,15
613,0
615,0
617,7
619,0
621,1
623,14
625,7
627,8
629,15
631,6
633,4
635,9
637,0
639,18
641,0
643,5
645,6
647,10
649,10
651,9
653,9
655,0
657,19
659,10
661,7
663,7
665,10
667,7
669,0
671,5
673,6
675,9
677,0
679,7
681,15
683,9
685,0
687,15
689,18
691,13
693,8
695,11
697,8
699,16
701,8
703,8
705,6
707,10
709,5
711,15
713,15
715,15
717,15
719,15
721,5
723,1
725,22
727,5
729,8
731,12
733,15
735,0
737,0
739,11
741,11
743,15
745,8
747,0
749,3
751,24
753,16
755,4
757,8
759,10
761,12
763,10
765,10
767,11
769,14
771,14
773,14
775,14
777,12
779,14
781,12
783,21
785,11
787,10
789,19
791,17
793,19
795,7
797,13
799,16
801,19
803,10
805,17
807,20
809,12
811,25
813,17
815,15
817,14
819,18
821,11
823,17
825,15
827,11
829,23
831,8
833,14
835,12
837,15
839,18
841,9
843,5
845,16
847,15
849,16
851,12
853,12
855,17
857,16
859,14
861,20
863,16
865,16
867,16
869,15
871,21
873,16
875,18
877,17
879,20
881,17
883,24
885,17
887,19
889,12
891,20
893,16
895,20
897,16
899,31
901,19
903,20
905,14
907,16
909,28
911,16
913,29
915,14
917,21
919,12
921,18
923,19
925,22
927,18
929,16
931,20
933,27
935,20
937,16
939,20
941,21
943,24
945,18
947,26
949,19
951,19
953,20
955,22
957,24
959,21
961,23
963,26
965,29
967,22
969,26
971,21
973,20
975,23
977,23
979,17
981,15
983,16
985,31
987,32
989,31
991,18
993,29
995,24
997,20
999,18
1001,16
1003,20
1005,26
1007,16
1009,16
1011,17
1013,22
1015,25
1017,26
1019,25
1021,16
1023,23
1025,27
1027,17
1029,20
1031,16
1033,21
1035,22
1037,20
1039,26
1041,28
1043,17
1045,25
1047,29
1049,21
1051,26
1053,24
1055,25
1057,26
1059,15
1061,16
1063,22
1065,15
1067,20
1069,18
1071,24
1073,24
1075,21
1077,22
1079,22
1081,21
1083,31
1085,31
1087,33
1089,15
1091,10
1093,31
1095,31
1097,16
1099,27
1101,31
1103,40
1105,33
1107,16
1109,25
1111,15
1113,15
1115,14
1117,35
1119,31
1121,34
1123,32
1125,30
1127,31
1129,26
1131,39
1133,29
1135,32
1137,28
1139,33
1141,34
1143,32
1145,30
1147,30
1149,27
1151,32
1153,31
1155,27
1157,32
1159,37
1161,25
1163,33
1165,32
1167,31
1169,32
1171,26
1173,31
1175,36
1177,32
1179,30
1181,32
1183,34
1185,28
1187,30
1189,22
1191,33
1193,46
1195,37
1197,39
1199,33
1201,29
1203,28
1205,23
1207,32
1209,19
1211,26
1213,28
1215,35
1217,27
1219,28
1221,22
1223,35
1225,26
1227,32
1229,16
1231,25
1233,32
1235,28
1237,33
1239,32
1241,23
1243,43
1245,27
1247,42
1249,25
1251,40
1253,37
1255,39
1257,31
1259,31
1261,30
1263,34
1265,41
1267,25
1269,37
1271,31
1273,32
1275,39
1277,29
1279,36
1281,33
1283,31
1285,41
1287,41
1289,41
1291,31
1293,31
1295,32
1297,31
1299,31
1301,30
1303,22
1305,33
1307,33
1309,41
1311,31
1313,42
1315,45
1317,41
1319,42
1321,36
1323,30
1325,45
1327,28
1329,40
1331,44
1333,43
1335,29
1337,34
1339,27
1341,40
1343,46
1345,44
1347,46
1349,33
1351,41
1353,43
1355,35
