Size,Time (ns)
10,0
110,0
210,0
310,0
410,0
510,0
610,0
710,0
810,1190000
910,339000
1010,234000
1110,0
1210,0
1310,0
1410,0
1510,0
1610,2079000
1710,0
1810,0
1910,0
2010,0
2110,0
2210,2974000
2310,0
2410,0
2510,1589000
2610,0
2710,0
2810,0
2910,0
3010,3872000
3110,0
3210,0
3310,0
3410,3217000
3510,0
3610,2320000
3710,0
3810,0
3910,2629000
4010,0
4110,0
4210,0
4310,0
4410,5052000
4510,0
4610,0
4710,3308000
4810,1528000
4910,0
5010,0
5110,3964000
5210,1041000
5310,1630000
5410,2519000
5510,0
5610,0
5710,0
5810,0
5910,2282000
6010,0
6110,2954000
6210,0
6310,1309000
6410,1225000
6510,0
6610,0
6710,5679000
6810,0
6910,0
7010,0
7110,6321000
7210,1894000
7310,0
7410,0
7510,0
7610,8065000
7710,0
7810,0
7910,1673000
8010,0
8110,3612000
8210,4509000
8310,1941000
8410,0
8510,5408000
8610,0
8710,4793000
8810,0
8910,0
9010,0
9110,8000000
9210,0
9310,0
9410,6853000
9510,1520000
9610,0
9710,6221000
9810,2258000
9910,2566000
10010,3104000
10110,2514000
10210,3018000
10310,4672000
10410,2887000
10510,2788000
10610,0
10710,4358000
10810,4323000
10910,0
11010,1960000
11110,2011000
11210,4774000
11310,3743000
11410,2619000
11510,0
11610,6958000
11710,0
11810,7005000
11910,3846000
12010,2776000
12110,3759000
12210,5007000
12310,2593000
12410,3988000
12510,0
12610,0
12710,8960000
12810,0
12910,3101000
13010,4245000
13110,3409000
13210,0
13310,5009000
13410,0
13510,10882000
13610,3603000
13710,2373000
13810,0
13910,11257000
14010,4891000
14110,2961000
14210,7209000
14310,4404000
14410,2012000
14510,8346000
14610,4411000
14710,5667000
14810,0
14910,8543000
15010,5332000
15110,0
15210,9725000
15310,5560000
15410,0
15510,11327000
15610,5473000
15710,3079000
15810,6103000
15910,2760000
16010,2738000
16110,6552000
16210,3296000
16310,3515000
16410,8038000
16510,0
16610,8013000
16710,2849000
16810,5519000
16910,1148000
17010,4517000
17110,8318000
17210,2646000
17310,5568000
17410,8134000
17510,951000
17610,5724000
17710,9848000
17810,4069000
17910,0
18010,5441000
18110,2711000
18210,8073000
18310,8021000
18410,0
18510,8017000
18610,8086000
18710,0
18810,8022000
18910,8198000
19010,0
19110,12073000
19210,4303000
19310,8019000
19410,0
19510,7390000
19610,8016000
19710,0
19810,11755000
19910,3516000
20010,8489000
20110,4610000
20210,3559000
20310,9358000
20410,0
20510,7206000
20610,10873000
20710,5718000
20810,6233000
20910,3236000
21010,6771000
21110,8370000
21210,4027000
21310,7731000
21410,4634000
21510,8124000
21610,2190000
21710,6382000
21810,8362000
21910,6581000
22010,8306000
22110,0
22210,5467000
22310,5968000
22410,5934000
22510,8029000
22610,6788000
22710,2156000
22810,4610000
22910,6484000
23010,3807000
23110,10066000
23210,4394000
23310,9791000
23410,6542000
23510,4102000
23610,6677000
23710,2129000
23810,7048000
23910,8031000
24010,9900000
24110,5011000
24210,6026000
24310,8041000
24410,7994000
24510,0
24610,0
24710,8014000
24810,7985000
24910,7997000
25010,8001000
25110,10733000
25210,5513000
25310,8037000
25410,7981000
25510,0
25610,7999000
25710,7998000
25810,0
25910,8015000
26010,0
26110,0
26210,7995000
26310,8044000
26410,11009000
26510,0
26610,0
26710,8012000
26810,8007000
26910,12379000
27010,4185000
27110,4072000
27210,7371000
27310,8028000
27410,2199000
27510,8427000
27610,8171000
27710,12483000
27810,12988000
27910,5820000
28010,9538000
28110,7985000
28210,6387000
28310,4016000
28410,8513000
28510,0
28610,0
28710,8442000
28810,8231000
28910,8452000
29010,9486000
29110,7623000
29210,8017000
29310,8416000
29410,9504000
29510,4032000
29610,13307000
29710,3522000
29810,16973000
29910,9052000
30010,4448000
30110,12538000
30210,8780000
30310,4424000
30410,10676000
30510,8786000
30610,4038000
30710,8355000
30810,15549000
30910,8503000
31010,8372000
31110,9764000
31210,6719000
31310,8360000
31410,16604000
31510,8336000
31610,12800000
31710,10579000
31810,8401000
31910,8681000
32010,11195000
32110,5915000
32210,12720000
32310,6870000
32410,9792000
32510,11563000
32610,12024000
32710,8002000
32810,9073000
32910,9848000
33010,6510000
33110,9553000
33210,8433000
33310,8174000
33410,13424000
33510,10417000
33610,10166000
33710,6185000
33810,8461000
33910,9290000
34010,8502000
34110,8456000
34210,16174000
34310,16459000
34410,8250000
34510,10396000
34610,11337000
34710,10492000
34810,9454000
34910,12094000
35010,8022000
35110,16508000
35210,8149000
35310,16516000
35410,7997000
35510,16165000
35610,8003000
35710,14619000
35810,10938000
35910,11123000
36010,10315000
36110,10303000
36210,9736000
36310,9846000
36410,11536000
36510,4606000
36610,10656000
36710,9578000
36810,5237000
36910,8162000
37010,4059000
37110,16107000
37210,16191000
37310,16109000
37410,16127000
37510,16062000
37610,9148000
37710,13124000
37810,11639000
37910,11783000
38010,12116000
38110,10270000
38210,10410000
38310,8066000
38410,13348000
38510,11654000
38610,6510000
38710,12485000
38810,13775000
38910,12324000
39010,11436000
39110,11165000
39210,5196000
39310,9598000
39410,7534000
39510,14221000
39610,8016000
39710,15996000
39810,8001000
39910,16002000
40010,7998000
40110,7997000
40210,8005000
40310,9986000
40410,6512000
40510,7998000
40610,10736000
40710,13961000
40810,8012000
40910,9472000
41010,7440000
41110,14706000
41210,15884000
41310,16375000
41410,10684000
41510,12777000
41610,7236000
41710,16191000
41810,11323000
41910,11433000
42010,9720000
42110,16015000
42210,14847000
42310,12217000
42410,12759000
42510,8107000
42610,16808000
42710,12345000
42810,12901000
42910,13079000
43010,17267000
43110,15270000
43210,15338000
43310,13886000
43410,7579000
43510,16948000
43610,10239000
43710,11406000
43810,15923000
43910,10247000
44010,18028000
44110,13558000
44210,14591000
44310,16468000
44410,9972000
44510,16389000
