Size,Time (ns)
10,0
110,0
210,0
310,0
410,0
510,0
610,0
710,0
810,0
910,0
1010,0
1110,0
1210,0
1310,0
1410,0
1510,0
1610,0
1710,0
1810,0
1910,0
2010,0
2110,0
2210,0
2310,0
2410,0
2510,0
2610,0
2710,0
2810,0
2910,0
3010,0
3110,0
3210,0
3310,0
3410,0
3510,8077000
3610,0
3710,0
3810,0
3910,0
4010,0
4110,0
4210,0
4310,0
4410,0
4510,0
4610,0
4710,0
4810,0
4910,0
5010,8107000
5110,0
5210,0
5310,0
5410,0
5510,0
5610,0
5710,0
5810,0
5910,0
6010,0
6110,0
6210,8389000
6310,0
6410,1714000
6510,0
6610,0
6710,0
6810,3899000
6910,0
7010,0
7110,2547000
7210,0
7310,0
7410,0
7510,0
7610,0
7710,0
7810,0
7910,8183000
8010,0
8110,0
8210,0
8310,0
8410,0
8510,6578000
8610,0
8710,1920000
8810,0
8910,0
9010,0
9110,5704000
9210,2012000
9310,0
9410,0
9510,0
9610,4568000
9710,0
9810,0
9910,3946000
10010,0
10110,0
10210,0
10310,0
10410,6812000
10510,1549000
10610,0
10710,0
10810,0
10910,0
11010,0
11110,8053000
11210,2014000
11310,0
11410,0
11510,6060000
11610,0
11710,0
11810,0
11910,0
12010,0
12110,0
12210,2009000
12310,2006000
12410,2005000
12510,2004000
12610,2004000
12710,0
12810,0
12910,0
13010,6195000
13110,0
13210,0
13310,0
13410,8017000
13510,2008000
13610,2005000
13710,0
13810,2005000
13910,2005000
14010,4502000
14110,2009000
14210,1749000
14310,4054000
14410,1558000
14510,3104000
14610,1569000
14710,0
14810,0
14910,6581000
15010,2013000
15110,4026000
15210,2013000
15310,2013000
15410,4024000
15510,2014000
15610,2012000
15710,4334000
15810,5786000
15910,2017000
16010,2013000
16110,2008000
16210,2008000
16310,2010000
16410,3459000
16510,3442000
16610,0
16710,3512000
16810,0
16910,0
17010,8015000
17110,2013000
17210,4017000
17310,2007000
17410,0
17510,0
17610,8298000
17710,2634000
17810,2010000
17910,3417000
18010,2208000
18110,0
18210,0
18310,6158000
18410,3820000
18510,0
18610,5233000
18710,0
18810,0
18910,8031000
19010,2983000
19110,0
19210,5858000
19310,0
19410,0
19510,8326000
19610,0
19710,0
19810,8429000
19910,0
20010,0
20110,10110000
20210,0
20310,6042000
20410,1376000
20510,0
20610,7049000
20710,0
20810,0
20910,8082000
21010,0
21110,0
21210,10208000
21310,4035000
21410,2010000
21510,4019000
21610,0
21710,4055000
21810,3107000
21910,5371000
22010,0
22110,0
22210,10067000
22310,2016000
22410,4025000
22510,2009000
22610,4024000
22710,4024000
22810,2011000
22910,4019000
23010,4014000
23110,4017000
23210,4027000
23310,4027000
23410,2011000
23510,4014000
23610,4010000
23710,2746000
23810,3577000
23910,0
24010,8025000
24110,4023000
24210,4401000
24310,0
24410,10737000
24510,3176000
24610,4740000
24710,2009000
24810,4015000
24910,4571000
25010,3650000
25110,0
25210,0
25310,9364000
25410,0
25510,6767000
25610,0
25710,8508000
25810,5919000
25910,2149000
26010,0
26110,10080000
26210,4021000
26310,2008000
26410,0
26510,10041000
26610,4020000
26710,4027000
26810,4014000
26910,4010000
27010,4018000
27110,4015000
27210,0
27310,7597000
27410,0
27510,9302000
27610,3269000
27710,1783000
27810,0
27910,10497000
28010,4018000
28110,4016000
28210,6027000
28310,0
28410,8071000
28510,0
28610,8449000
28710,2576000
28810,5704000
28910,0
29010,8027000
29110,0
29210,8458000
29310,0
29410,8171000
29510,4505000
29610,7088000
29710,4908000
29810,3491000
29910,7251000
30010,0
30110,7807000
30210,6000000
30310,0
30410,9041000
30510,4013000
30610,5014000
30710,0
30810,8254000
30910,6196000
31010,1465000
31110,7166000
31210,0
31310,8137000
31410,3706000
31510,4714000
31610,5815000
31710,1952000
31810,0
31910,12892000
32010,3826000
32110,0
32210,9810000
32310,4841000
32410,1832000
32510,8054000
32610,5680000
32710,2699000
32810,0
32910,10768000
33010,3985000
33110,5760000
33210,4015000
33310,0
33410,10924000
33510,4013000
33610,5756000
33710,4015000
33810,0
33910,10836000
34010,5516000
34110,0
34210,8017000
34310,4013000
34410,4011000
34510,6020000
34610,4012000
34710,6084000
34810,2997000
34910,3730000
35010,8284000
35110,0
35210,8288000
35310,8207000
35410,0
35510,8048000
35610,0
35710,8227000
35810,8386000
35910,6358000
36010,5191000
36110,5015000
36210,0
36310,10291000
36410,6017000
36510,3356000
36610,5016000
36710,0
36810,10027000
36910,6055000
37010,0
37110,4017000
37210,5270000
37310,6032000
37410,4010000
37510,6019000
37610,6015000
37710,6019000
37810,4010000
37910,5053000
38010,4733000
38110,7036000
38210,8019000
38310,6019000
38410,2008000
38510,8013000
38610,0
38710,8409000
38810,8031000
38910,8499000
39010,8058000
39110,10071000
39210,6041000
39310,6036000
39410,8091000
39510,7314000
39610,5039000
39710,7540000
39810,8407000
39910,8432000
40010,10459000
40110,7790000
40210,4533000
40310,6982000
40410,7427000
40510,8510000
40610,7795000
40710,6880000
40810,7483000
40910,10407000
41010,8185000
41110,6152000
41210,7480000
41310,4166000
41410,6692000
41510,11987000
41610,6285000
41710,3734000
41810,10733000
41910,5582000
42010,8496000
42110,8041000
42210,1525000
42310,12460000
42410,6388000
42510,3825000
42610,11111000
42710,5664000
42810,8252000
42910,6763000
43010,5554000
43110,8046000
43210,6083000
43310,6581000
43410,6334000
43510,5591000
43610,6680000
43710,6939000
43810,0
43910,6035000
44010,4809000
44110,6067000
44210,8103000
44310,5520000
44410,2753000
44510,8383000
44610,8545000
44710,8281000
44810,0
44910,8116000
45010,8134000
45110,8446000
45210,8289000
45310,1119000
45410,6946000
45510,8186000
45610,8298000
45710,9785000
45810,7119000
45910,6432000
46010,1924000
46110,9490000
46210,6824000
46310,8478000
46410,8268000
46510,0
46610,10513000
46710,7399000
46810,7002000
