Size,Time (ns)
10,0
110,0
210,0
310,0
410,0
510,0
610,0
710,0
810,862000
910,0
1010,0
1110,0
1210,0
1310,0
1410,0
1510,0
1610,0
1710,0
1810,0
1910,0
2010,0
2110,0
2210,0
2310,0
2410,0
2510,0
2610,0
2710,0
2810,0
2910,0
3010,4373000
3110,0
3210,1017000
3310,0
3410,0
3510,1291000
3610,0
3710,0
3810,0
3910,2387000
4010,512000
4110,0
4210,0
4310,1775000
4410,0
4510,0
4610,2015000
4710,0
4810,0
4910,0
5010,2015000
5110,0
5210,0
5310,2389000
5410,0
5510,1658000
5610,0
5710,0
5810,0
5910,0
6010,0
6110,0
6210,0
6310,0
6410,0
6510,0
6610,9757000
6710,1241000
6810,580000
6910,0
7010,2720000
7110,0
7210,0
7310,3507000
7410,655000
7510,1252000
7610,0
7710,1830000
7810,0
7910,0
8010,0
8110,5045000
8210,0
8310,0
8410,3184000
8510,0
8610,0
8710,0
8810,0
8910,0
9010,0
9110,0
9210,0
9310,0
9410,12319000
9510,0
9610,3865000
9710,0
9810,2640000
9910,0
10010,2983000
10110,0
10210,0
10310,0
10410,0
10510,6626000
10610,0
10710,3427000
10810,1616000
10910,0
11010,2970000
11110,0
11210,3929000
11310,1291000
11410,2537000
11510,0
11610,0
11710,4295000
11810,1414000
11910,2437000
12010,0
12110,0
12210,0
12310,0
12410,7704000
12510,1159000
12610,0
12710,5366000
12810,0
12910,2299000
13010,0
13110,4423000
13210,0
13310,2804000
13410,0
13510,0
13610,7091000
13710,0
13810,0
13910,0
14010,0
14110,8995000
14210,2404000
14310,2717000
14410,2663000
14510,2189000
14610,2300000
14710,0
14810,3415000
14910,0
15010,3375000
15110,0
15210,1342000
15310,0
15410,0
15510,7649000
15610,0
15710,3983000
15810,0
15910,5009000
16010,0
16110,5128000
16210,1615000
16310,0
16410,4108000
16510,3124000
16610,1219000
16710,4201000
16810,1197000
16910,0
17010,7438000
17110,4799000
17210,2567000
17310,1113000
17410,1533000
17510,1201000
17610,4187000
17710,3221000
17810,0
17910,0
18010,0
18110,8880000
18210,4315000
18310,2593000
18410,1149000
18510,0
18610,0
18710,8595000
18810,2915000
18910,0
19010,4872000
19110,2850000
19210,0
19310,4751000
19410,4483000
19510,0
19610,5030000
19710,1727000
19810,3609000
19910,0
20010,0
20110,9106000
20210,3564000
20310,1540000
20410,2563000
20510,3584000
20610,2841000
20710,3110000
20810,2209000
20910,0
21010,0
21110,7834000
21210,5248000
21310,3986000
21410,2010000
21510,4030000
21610,3849000
21710,2946000
21810,1801000
21910,5989000
22010,0
22110,5228000
22210,3504000
22310,4706000
22410,2015000
22510,3600000
22610,3080000
22710,4114000
22810,3088000
22910,892000
23010,0
23110,0
23210,2242000
23310,2014000
23410,0
23510,10138000
23610,0
23710,5561000
23810,0
23910,4291000
24010,0
24110,9518000
24210,1155000
24310,0
24410,0
24510,0
24610,16674000
24710,3714000
24810,4027000
24910,2009000
25010,5324000
25110,3431000
25210,0
25310,0
25410,11926000
25510,4207000
25610,4015000
25710,2007000
25810,6489000
25910,3178000
26010,3471000
26110,3916000
26210,0
26310,8908000
26410,4367000
26510,3807000
26610,4028000
26710,1754000
26810,5130000
26910,5045000
27010,3779000
27110,3294000
27210,0
27310,0
27410,13920000
27510,4574000
27610,4027000
27710,4021000
27810,6329000
27910,2017000
28010,5917000
28110,4869000
28210,5139000
28310,3132000
28410,1594000
28510,8291000
28610,3587000
28710,6028000
28810,3017000
28910,4954000
29010,6307000
29110,4025000
29210,6026000
29310,4020000
29410,4012000
29510,1463000
29610,9470000
29710,5036000
29810,4365000
29910,5793000
30010,4021000
30110,4718000
30210,6134000
30310,2821000
30410,5857000
30510,0
30610,10236000
30710,3973000
30810,2011000
30910,8017000
31010,3249000
31110,4756000
31210,7198000
31310,5639000
31410,0
31510,7913000
31610,5418000
31710,2881000
31810,6844000
31910,4281000
32010,5263000
32110,2050000
32210,6018000
32310,7210000
32410,7394000
32510,3532000
32610,5136000
32710,3372000
32810,5488000
32910,3160000
33010,3935000
33110,8771000
33210,4629000
33310,6698000
33410,4357000
33510,7048000
33610,6038000
33710,5045000
33810,6043000
33910,6045000
34010,5730000
34110,6422000
34210,5018000
34310,6204000
34410,6509000
34510,5219000
34610,4018000
34710,4080000
34810,2011000
34910,8497000
35010,2842000
35110,7341000
35210,5814000
35310,8284000
35410,6042000
35510,5684000
35610,4908000
35710,8295000
35810,5060000
35910,5413000
36010,6040000
36110,4453000
36210,0
36310,9299000
36410,5881000
36510,5944000
36610,5632000
36710,5671000
36810,7496000
36910,2744000
37010,8698000
37110,5899000
37210,2740000
37310,5911000
37410,9100000
37510,4028000
37610,6793000
37710,6028000
37810,7147000
37910,0
38010,13153000
38110,6133000
38210,4515000
38310,6031000
38410,8616000
38510,5463000
38610,6405000
38710,6519000
38810,7304000
38910,2788000
39010,11025000
39110,8043000
39210,5182000
39310,8983000
39410,5551000
39510,2035000
39610,11368000
39710,6035000
39810,7633000
39910,3244000
40010,8383000
40110,5672000
40210,6061000
40310,6296000
40410,10136000
40510,6808000
40610,3404000
40710,8668000
40810,8948000
40910,6461000
41010,4143000
41110,10559000
41210,5539000
41310,8197000
41410,7098000
41510,6311000
41610,4412000
41710,8709000
41810,3775000
41910,6051000
42010,5032000
42110,5993000
42210,2628000
42310,11859000
42410,6370000
42510,3405000
42610,5938000
42710,10870000
42810,6269000
42910,5044000
43010,7959000
43110,6092000
43210,4521000
43310,8892000
43410,4025000
43510,10417000
43610,3177000
43710,9900000
43810,7029000
43910,6247000
44010,6934000
44110,6039000
44210,5779000
44310,8217000
44410,8045000
44510,7740000
44610,6255000
44710,0
44810,9605000
44910,11654000
45010,4475000
45110,9513000
45210,6627000
45310,4031000
45410,11604000
45510,3578000
45610,10557000
45710,3368000
45810,0
45910,14390000
