Size,Time (nanoseconds)
1,0
101,0
201,0
301,0
401,0
501,0
601,0
701,0
801,0
901,0
1001,0
1101,0
1201,0
1301,0
1401,0
1501,8123000
1601,0
1701,0
1801,0
1901,0
2001,0
2101,0
2201,0
2301,0
2401,0
2501,4244000
2601,0
2701,1600000
2801,0
2901,0
3001,0
3101,0
3201,0
3301,0
3401,6608000
3501,2141000
3601,0
3701,0
3801,0
3901,0
4001,0
4101,7705000
4201,0
4301,0
4401,0
4501,0
4601,6407000
4701,2718000
4801,1028000
4901,1377000
5001,0
5101,3867000
5201,1514000
5301,0
5401,0
5501,0
5601,9000000
5701,1026000
5801,2677000
5901,1233000
6001,0
6101,513000
6201,0
6301,5512000
6401,0
6501,0
6601,0
6701,0
6801,0
6901,6439000
7001,3254000
7101,0
7201,4902000
7301,1909000
7401,0
7501,0
7601,8023000
7701,1445000
7801,0
7901,5204000
8001,3004000
8101,2969000
8201,1435000
8301,0
8401,8307000
8501,2848000
8601,2763000
8701,1168000
8801,5847000
8901,5572000
9001,2645000
9101,2801000
9201,3584000
9301,3643000
9401,4692000
9501,1453000
9601,5512000
9701,2009000
9801,6007000
9901,0
10001,2089000
10101,0
10201,7509000
10301,0
10401,11296000
10501,5014000
10601,5051000
10701,3161000
10801,5656000
10901,5964000
11001,3676000
11101,0
11201,8247000
11301,4765000
11401,1534000
11501,0
11601,11718000
11701,5016000
11801,4514000
11901,5120000
12001,5377000
12101,4613000
12201,3872000
12301,0
12401,1398000
12501,8108000
12601,0
12701,10945000
12801,5465000
12901,4410000
13001,6947000
13101,6626000
13201,7890000
13301,6312000
13401,5028000
13501,9093000
13601,6248000
13701,7235000
13801,0
13901,12595000
14001,6128000
14101,8235000
14201,9057000
14301,5046000
14401,7499000
14501,1510000
14601,8233000
14701,5810000
14801,5642000
14901,2553000
15001,15770000
15101,7772000
15201,8017000
15301,8002000
15401,12791000
15501,6309000
15601,6503000
15701,6914000
15801,3157000
15901,5009000
16001,10241000
16101,4018000
16201,10098000
16301,5545000
16401,0
16501,13280000
16601,8511000
16701,1422000
16801,0
16901,10741000
17001,5836000
17101,10545000
17201,7792000
17301,5928000
17401,6016000
17501,6015000
17601,8257000
17701,8434000
17801,7161000
17901,0
18001,4659000
18101,2694000
18201,10097000
18301,3309000
18401,17742000
18501,8849000
18601,8066000
18701,10065000
18801,5257000
18901,4018000
19001,8019000
19101,7997000
19201,0
19301,7995000
19401,8353000
19501,6186000
19601,8184000
19701,8198000
19801,2512000
19901,8298000
20001,11676000
20101,6849000
20201,6804000
20301,9254000
20401,8358000
20501,6811000
20601,8546000
20701,6994000
20801,6436000
20901,7011000
21001,8030000
21101,10439000
21201,8534000
21301,6024000
21401,13787000
21501,8475000
21601,11507000
21701,8456000
21801,11537000
21901,7997000
22001,16020000
22101,8003000
22201,7976000
22301,15998000
22401,8003000
22501,8124000
22601,16747000
22701,16017000
22801,15995000
22901,8006000
23001,8092000
23101,10339000
23201,8369000
23301,16013000
23401,8002000
23501,16317000
23601,8017000
23701,8056000
23801,15624000
23901,0
24001,15629000
24101,19770000
24201,11084000
24301,8495000
24401,13497000
24501,8028000
24601,9166000
24701,8071000
24801,8049000
24901,16017000
25001,7996000
25101,8003000
25201,7994000
25301,7999000
25401,7999000
25501,8019000
25601,7999000
25701,15998000
25801,17665000
25901,6039000
26001,10500000
26101,9707000
26201,7004000
26301,10793000
26401,9834000
26501,10655000
26601,12496000
26701,9500000
26801,16514000
26901,11566000
27001,16638000
27101,13108000
27201,8463000
27301,8337000
27401,16867000
27501,16678000
27601,16132000
27701,8014000
27801,12866000
27901,5056000
28001,11067000
28101,8474000
28201,14138000
28301,11732000
28401,8269000
28501,16757000
28601,16765000
28701,16884000
28801,16531000
28901,16685000
29001,16240000
29101,8015000
29201,16910000
29301,15543000
29401,11779000
29501,13826000
29601,15531000
29701,8444000
29801,14650000
29901,13630000
30001,11659000
30101,16758000
30201,16638000
30301,11679000
30401,16450000
30501,11305000
30601,10134000
30701,10880000
30801,13643000
30901,7995000
31001,14403000
31101,8452000
31201,18688000
31301,11883000
31401,9610000
31501,16522000
31601,19375000
31701,11292000
31801,16557000
31901,7248000
32001,9797000
32101,13418000
32201,6454000
32301,8500000
32401,21992000
32501,8490000
32601,16527000
32701,16518000
32801,14845000
32901,11955000
33001,16014000
33101,16678000
33201,6508000
33301,15982000
33401,16577000
33501,8274000
33601,12649000
33701,13918000
33801,13822000
33901,14200000
34001,9241000
34101,15028000
34201,16002000
34301,16217000
34401,16764000
34501,6008000
34601,7028000
34701,16815000
34801,16254000
34901,13956000
35001,15024000
35101,12901000
35201,15614000
35301,12464000
35401,16355000
35501,16354000
35601,15150000
35701,17170000
35801,14673000
35901,19265000
36001,12872000
36101,11817000
36201,16977000
36301,9359000
36401,11036000
36501,13770000
36601,14491000
36701,8046000
36801,8102000
36901,11498000
37001,8000000
37101,6509000
37201,14310000
37301,16785000
37401,18190000
37501,13723000
37601,15902000
37701,11870000
37801,16515000
37901,15781000
38001,16817000
38101,16952000
38201,20897000
38301,13369000
38401,19557000
38501,14281000
38601,14887000
38701,10502000
38801,14986000
38901,15694000
39001,21959000
39101,15881000
39201,14871000
39301,21744000
39401,16794000
39501,20401000
39601,15026000
39701,17873000
39801,16671000
39901,16114000
40001,16580000
40101,16672000
40201,17947000
40301,20362000
40401,18863000
40501,16642000
40601,15092000
40701,16938000
40801,18649000
40901,14506000
41001,17774000
41101,15871000
41201,21942000
41301,19801000
41401,16697000
41501,16542000
41601,21033000
41701,19431000
41801,19062000
41901,18934000
42001,14463000
42101,20028000
42201,17960000
