NumItems,ExecutionTimeMicroseconds
10,0
110,0
210,0
310,0
410,0
510,0
610,0
710,0
810,0
910,0
1010,0
1110,2009
1210,0
1310,0
1410,2008
1510,1005
1610,2008
1710,0
1810,2006
1910,2004
2010,0
2110,0
2210,2007
2310,2006
2410,2005
2510,1747
2610,3001
2710,846
2810,3019
2910,1509
3010,4608
3110,3847
3210,791
3310,4704
3410,1764
3510,3839
3610,2330
3710,2170
3810,5512
3910,4466
4010,3710
4110,0
4210,5482
4310,6066
4410,3037
4510,2173
4610,0
4710,6951
4810,4026
4910,4214
5010,5631
5110,3264
5210,2115
5310,0
5410,8074
5510,2451
5610,3300
5710,8223
5810,4034
5910,3564
6010,8462
6110,4028
6210,4715
6310,7914
6410,3764
6510,0
6610,12683
6710,3706
6810,3963
6910,6674
7010,6250
7110,2009
7210,9494
7310,5179
7410,30465
7510,8041
7610,7785
7710,8044
7810,7018
7910,5850
8010,10452
8110,8241
8210,3759
8310,11212
8410,6176
8510,5678
8610,6577
8710,11775
8810,6956
8910,6230
9010,6491
9110,7025
9210,6992
9310,8738
9410,6784
9510,7577
9610,8107
9710,8132
9810,2333
9910,14372
10010,4327
10110,13229
10210,5021
10310,12784
10410,8911
10510,7497
10610,10589
10710,8971
10810,7657
10910,9773
11010,6066
11110,0
11210,3103
11310,14094
11410,8091
11510,10028
11610,9771
11710,0
11810,17202
11910,10528
12010,5997
12110,16061
12210,9801
12310,8257
12410,13344
12510,10362
12610,6960
12710,11496
12810,4752
12910,16333
13010,13907
13110,9785
13210,4525
13310,22596
13410,11849
13510,12738
13610,12469
13710,4185
13810,17833
13910,10672
14010,8184
14110,11634
14210,9736
14310,13817
14410,12180
14510,11777
14610,6416
14710,8882
14810,16102
14910,9244
15010,9133
15110,15651
15210,8262
15310,9049
15410,18491
15510,15044
15610,14397
15710,12227
15810,11787
15910,12390
16010,7428
16110,17767
16210,16155
16310,18195
16410,15027
16510,13700
16610,14581
16710,14590
16810,13961
16910,15006
17010,25839
17110,14853
17210,19165
17310,11474
17410,13618
17510,14140
17610,15798
17710,16226
17810,12469
17910,13532
18010,24122
18110,15068
18210,17923
18310,27848
18410,17242
18510,16677
18610,12027
18710,26143
18810,9975
18910,15631
19010,14546
19110,20231
19210,18937
19310,17081
19410,18652
19510,8291
19610,26799
19710,16938
19810,16581
19910,17516
20010,17708
20110,13416
20210,22071
20310,16076
20410,16727
20510,13553
20610,16610
20710,20192
20810,15889
20910,18193
21010,11377
21110,19785
21210,16037
21310,16090
21410,19403
21510,19288
21610,13364
21710,26220
21810,17756
21910,21835
22010,17592
22110,21164
22210,20574
22310,21885
22410,18095
22510,23164
22610,21110
22710,19804
22810,16037
22910,31705
23010,21048
23110,25142
23210,19511
23310,24331
23410,22586
23510,21007
23610,25447
23710,16128
23810,25369
23910,20784
24010,22940
24110,19108
24210,20721
24310,9038
24410,22767
24510,21597
24610,17378
24710,20407
24810,21636
24910,26335
25010,22654
25110,27000
25210,20730
25310,25977
25410,21004
25510,28319
25610,18898
25710,27190
25810,22871
25910,24019
26010,19141
26110,23351
26210,28898
26310,13423
26410,40181
26510,19551
26610,28288
26710,25890
26810,23634
26910,18681
27010,33749
27110,26231
27210,24470
27310,25798
27410,26712
27510,29227
27610,27123
27710,22859
27810,19133
27910,30869
28010,22847
28110,24137
28210,24256
28310,23099
28410,24060
28510,25071
28610,25918
28710,26038
28810,27388
28910,21418
29010,26358
29110,25868
29210,29026
29310,31869
29410,29151
29510,25348
29610,29386
29710,19691
29810,28743
29910,25708
30010,24441
30110,27085
30210,28981
30310,24603
30410,25081
30510,33032
30610,25800
30710,28224
30810,27858
30910,31775
31010,30544
31110,30767
31210,27474
31310,29327
31410,29203
31510,27985
31610,25812
31710,32134
31810,30903
31910,27330
32010,30622
32110,30651
32210,33401
32310,29354
32410,29823
32510,33676
32610,34329
32710,32559
32810,31713
32910,31005
33010,25145
33110,33917
33210,31340
33310,30185
33410,32362
33510,30157
33610,32041
33710,37242
33810,32225
33910,25408
34010,30595
34110,31678
34210,34898
34310,25389
34410,33741
34510,31201
34610,33693
34710,24525
34810,30984
34910,30982
35010,32366
35110,34937
35210,33368
35310,30035
35410,33026
35510,33243
35610,35170
35710,36554
35810,33113
35910,31927
36010,33218
36110,26772
36210,41667
36310,34069
36410,33767
36510,35637
36610,31031
36710,23309
36810,33089
36910,38299
37010,37781
37110,29644
37210,34615
37310,37889
37410,25297
37510,33471
37610,38979
37710,41317
37810,32140
37910,25914
38010,32857
38110,35013
38210,30745
38310,32375
38410,33938
38510,35156
38610,32421
38710,34702
38810,36142
38910,35371
39010,36766
39110,36572
39210,32888
39310,38358
39410,44052
39510,34029
39610,33847
39710,30788
39810,35191
39910,37419
40010,37133
40110,36849
40210,39546
40310,40869
40410,43723
40510,43537
40610,42927
40710,46152
40810,38929
40910,34858
41010,45316
41110,41153
41210,48980
41310,21613
41410,44620
41510,33448
41610,37118
41710,25029
41810,38309
41910,40169
42010,47418
42110,59321
42210,47879
42310,41720
42410,47178
42510,44865
42610,40618
42710,43777
42810,46045
42910,43835
43010,44623
43110,44230
43210,39989
43310,42508
43410,51917
43510,42392
43610,48525
43710,43202
43810,47066
43910,46009
44010,46530
44110,42414
44210,47077
44310,46112
44410,50270
44510,46301
44610,47959
44710,43816
44810,49326
44910,49934
45010,42261
45110,43732
45210,50417
45310,45421
45410,46307
45510,47999
45610,49980
45710,52945
45810,44940
45910,44493
46010,47976
46110,47736
46210,50903
46310,53916
46410,55871
46510,48822
46610,59062
46710,41918
46810,56492
46910,49306
47010,46934
47110,45578
47210,50940
47310,55137
47410,50583
47510,46013
47610,47508
47710,48445
47810,51614
47910,46223
48010,50689
48110,46469
48210,57080
48310,49839
48410,53874
48510,54381
48610,45204
48710,53719
48810,44938
48910,51628
49010,55800
